City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,palu,-0.8917,119.8707,75.4,81,99,1.23,ID,1613825258
305,simao,22.7886,100.9748,56.71,90,97,2.57,CN,1613825258
306,changji,44.0167,87.3167,35.6,60,100,2.24,CN,1613825258
307,zaria,11.1113,7.7227,85.14,13,12,8.7,NG,1613825031
308,oshawa,43.9001,-78.8496,17.01,92,90,8.95,CA,1613825136
309,cockburn town,21.4612,-71.1419,77.52,76,3,15.66,TC,1613825259
310,talladega,33.4359,-86.1058,25.0,93,1,3.2,US,1613825259
311,rudbar,30.15,62.6,83.35,15,45,5.88,AF,1613825259
312,owando,-0.4819,15.8999,92.28,39,100,3.11,CG,1613825260
313,alekseyevsk,57.8406,108.3492,-7.6,89,100,3.38,RU,1613825260
314,macia,-25.0269,33.0989,88.47,66,100,7.45,MZ,1613825260
315,lorengau,-2.0226,147.2712,83.8,74,69,5.23,PG,1613824749
316,nouadhibou,20.931,-17.0347,75.2,35,0,11.5,MR,1613824571
317,rumphi,-11.0186,33.8575,80.26,63,100,1.97,MW,1613825260
318,ust-kuyga,70.0167,135.6,-36.67,80,13,4.32,RU,1613824914
319,havelock,34.8791,-76.9013,35.6,93,90,6.91,US,1613825261
320,derzhavinsk,51.1,66.3167,2.8,93,100,17.27,KZ,1613824858
321,shahreza,32.0339,51.8794,52.05,35,0,20.33,IR,1613825262
322,komsomolskiy,40.4272,71.7189,44.6,87,75,9.22,UZ,1613824723
323,boende,-0.2167,20.8667,81.52,54,98,1.57,CD,1613824785
324,san quintin,30.4833,-115.95,55.74,80,0,10.78,MX,1613824718
325,half moon bay,37.4636,-122.4286,50.0,76,90,17.27,US,1613825262
326,osoyoos,49.0331,-119.4524,32.0,80,91,3.44,CA,1613825262
327,senftenberg,51.5167,14.0167,57.0,59,99,4.0,DE,1613825262
328,jiuquan,39.7432,98.5174,44.35,44,95,9.35,CN,1613825262
329,pipar,26.3856,73.5378,73.4,19,0,5.64,IN,1613825263
330,ugoofaaru,5.6667,73.0,82.33,67,0,10.09,MV,1613825263
331,shimanovsk,52.0,127.7,-5.17,91,0,5.77,RU,1613825263
332,guerrero negro,27.9769,-114.0611,56.01,77,0,6.98,MX,1613824866
333,alpena,45.0617,-83.4327,10.99,85,1,3.44,US,1613825263
334,shu,43.5983,73.7614,33.62,91,94,8.1,KZ,1613825263
335,taltal,-25.4,-70.4833,69.98,59,0,5.32,CL,1613825263
336,camana,-16.6228,-72.7111,72.28,69,95,8.79,PE,1613824582
337,asau,46.4333,26.4,33.01,62,76,4.54,RO,1613824741
338,olavarria,-36.8927,-60.3225,63.0,34,0,1.99,AR,1613825264
339,mae sai,20.4335,99.8762,75.99,69,20,5.75,TH,1613825264
340,sharjah,25.3573,55.4033,80.6,50,20,9.22,AE,1613825264
341,toora-khem,52.4675,96.11,0.95,87,89,3.38,RU,1613824735
342,lincoln,40.8,-96.667,15.01,85,75,8.05,US,1613824556
343,villazon,-22.0866,-65.5942,51.48,72,78,11.12,BO,1613825266
344,fiumicino,41.7675,12.2291,64.0,59,20,11.5,IT,1613825266
345,wolbrom,50.3796,19.7583,48.2,61,0,1.14,PL,1613825267
346,katherine,-14.4667,132.2667,77.0,100,90,6.91,AU,1613824939
347,tshane,-24.0196,21.8684,93.87,14,0,2.44,BW,1613825267
348,ust-tsilma,65.441,52.1498,-21.55,86,100,3.49,RU,1613824686
349,monzon,41.9108,0.1941,63.0,51,0,12.66,ES,1613825268
350,lavrentiya,65.5833,-171.0,-15.5,87,92,3.89,RU,1613824722
351,pine bluff,34.2284,-92.0032,8.6,85,90,4.61,US,1613825268
352,honningsvag,70.9821,25.9704,18.61,87,0,27.76,NO,1613824706
353,karpogory,64.0019,44.4451,-16.69,88,58,3.74,RU,1613824777
354,emerald,-23.5333,148.1667,82.4,51,1,3.44,AU,1613825269
355,lethem,3.3803,-59.7968,81.43,59,59,14.88,GY,1613824884
356,ust-nera,64.5667,143.2,-25.6,76,9,1.77,RU,1613825269
357,gamboma,-1.8764,15.8644,90.59,41,100,3.62,CG,1613824900
358,nisia floresta,-6.0911,-35.2086,86.0,66,75,14.97,BR,1613825269
359,baiyin,36.5583,104.2081,54.0,9,0,6.71,CN,1613825269
360,margate,51.3813,1.3862,57.99,56,82,5.01,GB,1613824775
361,turochak,52.2576,87.1224,-2.29,89,100,1.9,RU,1613825270
362,miri,4.4148,114.0089,78.8,89,40,9.22,MY,1613825270
363,trat,12.5,102.5,74.26,56,0,3.15,TH,1613825270
